topic,top_words,topic_npmi,n_holdout,gold_hazard_rate,tp,fp,fn,tn,precision,recall,share_of_all_fp,share_of_all_fn
0,"good, chicken, salad, pretty, tasted, sauce, try, great, cheese, wasn, sandwich, nice",0.1109512881573978,176,0.4147727272727273,60,59,13,44,0.5042016806722689,0.821917808219178,0.29949238578680204,0.3333333333333333
1,"gluten, gluten free, free, celiac, contamination, cross contamination, gf, cross, celiac disease, disease, options, asked",0.4309398258405229,202,0.12871287128712872,21,48,5,128,0.30434782608695654,0.8076923076923077,0.2436548223350254,0.1282051282051282
2,"sushi, rolls, fish, roll, tuna, fresh, salmon, great, sashimi, good, old, ok",0.1815115432067712,29,0.6206896551724138,15,10,3,1,0.6,0.8333333333333334,0.050761421319796954,0.07692307692307693
3,"pizza, worst, crust, salad, cheese, pizzas, disgusting, pizza good, pepperoni, hut, mistake, physically sick",-0.2237683190577741,45,0.3111111111111111,11,8,3,23,0.5789473684210527,0.7857142857142857,0.04060913705583756,0.07692307692307693
4,"poisoning, eating, hours, days, horrible, stay, bad, poisoning eating, worst, stay away, away, terrible",0.0112934010013208,104,0.9615384615384616,98,4,2,0,0.9607843137254902,0.98,0.02030456852791878,0.05128205128205128
5,"minutes, service, asked, manager, took, people, wait, bar, staff, customer, rude, allergy",0.1466611946653639,216,0.5740740740740741,111,68,13,24,0.6201117318435754,0.8951612903225806,0.34517766497461927,0.3333333333333333
