algorithm,k,hazard_type,n,best_topic,lift,docs_of_type_in_topic,share_of_type_captured
LDA,4,allergic_reaction,38,1,2.521688837478311,16,0.42105263157894735
LDA,4,contamination,23,3,1.6279455692001328,9,0.391304347826087
LDA,4,food_poisoning,376,2,1.2484914178437332,205,0.5452127659574468
LDA,4,unsafe_handling,108,3,2.041631325982471,53,0.49074074074074076
NMF,6,allergic_reaction,38,1,5.28393351800554,7,0.18421052631578946
NMF,6,contamination,23,1,2.4942791762013727,2,0.08695652173913043
NMF,6,food_poisoning,376,4,1.3852511446269862,151,0.4015957446808511
NMF,6,unsafe_handling,108,5,1.9360004658746794,61,0.5648148148148148
