variant,seed,heuristic_test_pr_auc,heuristic_test_f2_at_0.20,heuristic_test_flag_rate,gold_holdout_pr_auc,gold_holdout_f2_at_0.20,gold_holdout_flag_rate
doc2vec_dbow,42,0.7805504959959427,0.7330703484549639,0.214,0.6830856161410328,0.6713973799126638,0.533678756476684
doc2vec_dbow,43,0.78379312454328,0.7313915857605178,0.23,0.6684434132495483,0.713903743315508,0.582901554404145
doc2vec_dbow,44,0.7827266241347025,0.7741522712731925,0.242,0.6674269783973197,0.678745267712277,0.555699481865285
