variant,weight,pr_auc,f2,f1,precision,recall,pred_positive_rate,precision_at_50,recall_at_50,collapsed,gold_pr_auc,gold_recall,gold_precision,gold_f2,gold_flag_rate,gold_fn,gold_fp,gold_cost,gold_collapsed
focal_asymmetric,15.0,0.9868897765529179,0.9377593360995851,0.931958762886598,0.9224489795918367,0.9416666666666667,0.20416666666666666,0.968609865470852,0.9,False,0.8211039394160742,0.9070422535211268,0.5996275605214153,0.8226877874297394,0.6955958549222798,33,215,175750.0,False
pos_weight,1.0,0.9888544377815641,0.9314954051796157,0.9350104821802935,0.9409282700421941,0.9291666666666667,0.1975,0.968609865470852,0.9,False,0.8096407091162288,0.8985915492957747,0.5962616822429907,0.8158567774936062,0.6930051813471503,36,216,190800.0,False
focal_asymmetric,50.0,0.9863917766148964,0.9129332206255283,0.9330453563714903,0.968609865470852,0.9,0.18583333333333332,0.9772727272727273,0.8958333333333334,False,0.802051875637282,0.8788732394366198,0.5954198473282443,0.8024691358024691,0.6787564766839378,43,212,225600.0,False
pos_weight,5.0,0.9894202892940651,0.9254606365159129,0.9324894514767933,0.9444444444444444,0.9208333333333333,0.195,0.972972972972973,0.9,False,0.7956284642364249,0.8732394366197183,0.6078431372549019,0.8031088082901554,0.6606217616580311,45,200,235000.0,False
focal_asymmetric,1.0,0.9880847921836824,0.9319899244332494,0.9426751592356688,0.961038961038961,0.925,0.1925,0.9730941704035875,0.9041666666666667,False,0.7913404309613595,0.9070422535211268,0.6326129666011788,0.8346293416277865,0.6593264248704663,33,187,174350.0,False
pos_weight,15.0,0.9892557183334384,0.9330543933054394,0.9389473684210526,0.948936170212766,0.9291666666666667,0.19583333333333333,0.9773755656108597,0.9,False,0.7905033313743873,0.8985915492957747,0.6158301158301158,0.8230134158926729,0.6709844559585493,36,199,189950.0,False
focal_asymmetric,5.0,0.9868751095567445,0.9305210918114144,0.9202453987730062,0.9036144578313253,0.9375,0.2075,0.9644444444444444,0.9041666666666667,False,0.7781053130584639,0.9436619718309859,0.5785837651122625,0.8379189594797398,0.75,20,244,112200.0,False
pos_weight,50.0,0.9891874440093652,0.9239130434782609,0.9285714285714286,0.9364406779661016,0.9208333333333333,0.19666666666666666,0.9559471365638766,0.9041666666666667,False,0.7219047476271044,0.8929577464788733,0.5742753623188406,0.8037525354969574,0.7150259067357513,38,235,201750.0,False
