variant,display,gold_pr_auc,boot_mean,boot_sd,ci95_low,ci95_high,ci95_width,n_boot
tfidf_lsa,LSA 300d + LogReg,0.7573651714076961,0.7581239725894102,0.018114337983803415,0.724291865143872,0.792947963570116,0.06865609842624398,1000
tfidf_lr,TF-IDF + LogReg (text-only control),0.711170127803289,0.7116869539010879,0.021639300070271674,0.6671429483376297,0.75365115904793,0.08650821071030035,1000
minilm,MiniLM-L6-v2 frozen 384d + LogReg,0.7092339916422015,0.7099843378906104,0.021628935426415613,0.665756133221023,0.7502845733454794,0.08452844012445637,1000
doc2vec_dbow,Doc2Vec PV-DBOW 300d + LogReg,0.6830856161410328,0.6860140826589834,0.02314118078441046,0.6385651572242494,0.7313528921575941,0.09278773493334469,1000
